COUNTY_WRITTEN,CODE,WRITTEN,Z_VAR
Brazil,BRA,Brazil <br> Species Detected <br> M. fortuitum X4 <br> M. kansasii X6 <br> M. flavescens X1 <br> M. fortuitum <br> M.abscessus X6 <br> M. xenopi X1 <br> M. flavescens X1 <br> M. gordonae X3,1
China,CHN,China <br> Species Detected <br> M. intracellulare X3,2
Kenya,KEN,Kenya <br> Species Detected <br> M. fortuitum X2 <br> M. gordonae X1,4
Uganda,UGA,Uganda <br> Species Detected <br> M. gordonae X1,5
