X1,mgi_symbol,P2_Roska,P4_Roska,P6_Roska,P10_Roska,P2_KO,P4_KO,P6_KO,P10_KO
ENSMUSG00000009108,Gnat2,10.141281092988125,9.485066678194158,10.43695878891969,11.037408316118468,7.868662806302408,8.20444849588868,9.375314300705442,10.758643554229122
ENSMUSG00000015843,Rxrg,6.21859367832786,6.140970067590939,5.6872500264781465,5.578055187208088,5.773512636334252,5.001084871191365,5.980891288374605,6.406288329343093
ENSMUSG00000021779,Thrb,9.423333634996627,9.16756654368862,9.612679778974126,9.810762600582379,4.050083368780148,4.586816862160669,4.485601800072446,6.111264513796285
ENSMUSG00000023439,Gnb3,9.833510094873157,9.493799970234075,9.88513106678253,10.483609440954934,10.298853166467184,10.135108670484373,11.046063702389171,11.715268935562472
ENSMUSG00000024992,Pde6c,8.87228940031611,8.099948271089291,9.378098856214613,10.928464512979671,6.711758849325401,6.147236128901674,7.202357633814708,9.403000832381734
ENSMUSG00000031394,Opn1mw,2.138426762693687,1.3532545239974283,3.550051499699228,10.691182775514156,0,0.4606931558059739,0.35583459348585494,3.0944456719968523
ENSMUSG00000032238,Rora,8.955803547460889,8.693688193063391,8.921197888841865,9.483779859776675,5.445318385076922,6.4713528303866426,5.974040314154338,6.492959025067112
ENSMUSG00000038811,Gngt2,8.815716905446944,8.733372345103533,9.04642953575331,9.16331026162713,9.936988916735654,9.68941986888221,9.928774710809886,10.572483457177148
ENSMUSG00000056494,Cngb3,9.057722421637898,9.0110676066498,8.911518216452436,8.905416090294349,5.564589289329168,6.033109277672181,5.97678967017645,7.012958606658345
ENSMUSG00000058831,Opn1sw,10.722124721070845,10.485137890363719,11.248539024045307,11.995428912612255,8.764131959944303,8.857805509186377,10.002078826173546,11.995763689867541
ENSMUSG00000060890,Arr3,8.05001814867034,6.328526422247396,8.918844607183553,10.398077035573458,2.0944612732446477,2.7380804050877052,4.071247259298299,7.097259011856945
