"","domains","databases"
"1","BP","GO: Biological Process"
"2","CC","GO: Cellular Component"
"3","MF","GO: Molecular Function"
"4","hp","HP"
"5","keg","KEGG"
"6","mir","miR-base"
"7","rea","Reactome"
"8","tf","TRANSFAC"
