Exomiser_version,PhenotypeScore,Rank,CombinedScore
exomiser_11,0.50024426,Medium,0.7488689
exomiser_11,0.0,Medium,0.005011111
exomiser_11,0.0,Medium,0.005011111
exomiser_11,0.0,Medium,0.0
exomiser_11,0.5000401,Medium,0.7455437
exomiser_11,0.5000401,Medium,0.7455437
exomiser_11,0.5032243,Medium,0.7551832
exomiser_11,0.5032243,Medium,0.7551832
exomiser_11,0.50000644,Medium,0.7489466
exomiser_11,0.0,Medium,0.015984526
exomiser_11,0.0,Medium,0.015984526
exomiser_11,0.50009453,High,0.74911875
exomiser_11,0.50270414,Medium,0.7530614
exomiser_11,0.50270414,Medium,0.7530614
exomiser_11,0.0,Medium,0.015890392
exomiser_11,0.0,Medium,0.015890392
exomiser_11,0.17932743,Medium,0.09618952
exomiser_11,0.0,Low,0.015657015
exomiser_11,0.0,Medium,0.016003402
exomiser_11,0.54244673,Medium,0.8226124
exomiser_11,0.5000129,Medium,0.4483818
exomiser_11,0.5580393,Medium,0.3218281
exomiser_11,0.60258734,Low,0.68604827
exomiser_11,0.5580393,Medium,0.3218281
exomiser_11,0.5040744,Low,0.72017735
exomiser_11,0.5040744,Low,0.72017735
exomiser_11,0.2232135,Medium,0.1386833
exomiser_11,0.2232135,Medium,0.1386833
exomiser_11,0.50038123,Low,0.74756825
exomiser_11,0.50038123,Low,0.74756825
exomiser_11,0.0,Medium,0.0035011997
exomiser_11,0.5000006,Medium,0.7337837
exomiser_11,0.5000006,Medium,0.7337837
exomiser_11,0.5000336,Medium,0.7465941
exomiser_11,0.5000001,Medium,0.743476
exomiser_11,0.5000001,Medium,0.743476
exomiser_11,0.500001,Medium,0.6407572
exomiser_11,0.500001,Medium,0.6407572
exomiser_11,0.57050735,NA,0.49726564
exomiser_11,0.50021446,Medium,0.6462031
exomiser_11,0.50000244,High,0.7489388
exomiser_11,0.50009906,Medium,0.65315986
exomiser_11,0.6281865,Diagnosed,0.91874164
exomiser_11,0.6281865,Diagnosed,0.91874164
exomiser_11,0.510097,NA,0.49658322
exomiser_11,0.510097,NA,0.49658322
exomiser_11,0.50208473,Medium,0.7529866
exomiser_11,0.50208473,Medium,0.7529866
exomiser_11,0.5000294,Medium,0.74899143
exomiser_11,0.50980973,Diagnosed,0.7676167
exomiser_11,0.0,Medium,0.014058382
exomiser_11,0.0,Medium,0.00375938
exomiser_11,0.5000357,Medium,0.74900377
exomiser_11,0.7861561,Diagnosed,0.98316616
exomiser_11,0.5002489,High,0.54533404
exomiser_11,0.27768514,Medium,0.22830287
exomiser_11,0.0,Medium,0.015969293
exomiser_11,0.0,Medium,0.015969293
exomiser_11,0.5000935,Diagnosed,0.7491167
exomiser_11,0.5000935,Diagnosed,0.7491167
exomiser_11,0.0,Medium,0.015969224
exomiser_11,0.0,Medium,0.015969224
exomiser_11,0.0,Medium,0.016233366
exomiser_11,0.5008154,Low,0.5136466
exomiser_11,0.5008154,Low,0.5136466
exomiser_11,0.5000019,Medium,0.7462013
exomiser_11,0.5000019,Medium,0.7462013
exomiser_11,0.50000286,Low,0.7489396
exomiser_11,0.500081,Medium,0.7490923
exomiser_11,0.5000059,NA,0.74624115
exomiser_11,0.50012904,Medium,0.7305496
exomiser_11,0.50012904,Medium,0.7305496
exomiser_11,0.5090646,Low,0.76623225
exomiser_11,0.60775745,High,0.9014127
exomiser_11,0.5000252,Medium,0.74898326
exomiser_11,0.5000535,Medium,0.7462995
exomiser_11,0.0,Medium,1.08565364E-4
exomiser_11,0.0,Medium,1.08565364E-4
exomiser_11,0.6437951,High,0.8836225
exomiser_11,0.6437951,High,0.8836225
exomiser_11,0.28028342,Medium,0.22498822
exomiser_11,0.5000009,Medium,0.2784216
exomiser_11,0.5813809,Diagnosed,0.87422574
exomiser_11,0.50013375,Medium,0.74919534
exomiser_11,0.50013375,Medium,0.74919534
exomiser_11,0.50000006,Low,0.69743043
exomiser_11,0.50000006,Low,0.69743043
exomiser_11,0.0,NA,0.016233366
exomiser_11,0.5000132,High,0.3047705
exomiser_11,0.5000132,High,0.3047705
exomiser_11,0.50283295,Medium,0.7544303
exomiser_11,0.0,Medium,0.015871989
exomiser_11,0.0,Medium,0.015871989
exomiser_11,0.0,NA,0.016105099
exomiser_11,0.50000036,NA,0.74525374
exomiser_11,0.50000036,NA,0.74525374
exomiser_11,0.5007231,Medium,0.7503447
exomiser_11,0.5007231,Medium,0.7503447
exomiser_11,0.50000024,Low,0.7484679
exomiser_11,0.50000024,Low,0.7484679
exomiser_11,0.5000052,Medium,0.71810186
exomiser_11,0.0,Low,4.6402263E-4
exomiser_11,0.0,Low,4.6402263E-4
exomiser_11,0.5000033,Medium,0.7489404
exomiser_11,0.5000033,Medium,0.7489404
exomiser_11,0.50003195,Medium,0.74899644
exomiser_11,0.3172195,Medium,0.16613936
exomiser_11,0.3172195,Medium,0.16613936
exomiser_11,0.5179956,Medium,0.7232253
exomiser_11,0.50715405,Medium,0.3620056
exomiser_11,0.50715405,Medium,0.3620056
exomiser_11,0.5179956,Medium,0.7232253
exomiser_11,0.5000044,NA,0.7489426
exomiser_11,0.5000044,NA,0.7489426
exomiser_11,0.50000113,High,0.74751025
exomiser_11,0.50000113,High,0.74751025
exomiser_11,0.5001893,Low,0.67861676
exomiser_11,0.5001893,Low,0.67861676
exomiser_11,0.5000001,Medium,0.4814369
exomiser_11,0.5000001,Medium,0.4814369
exomiser_11,0.5003023,Medium,0.2293201
exomiser_11,0.5000119,NA,0.3525726
exomiser_11,0.5000782,Medium,0.7400266
exomiser_11,0.5000782,Medium,0.7400266
exomiser_11,0.35999537,Medium,0.11150054
exomiser_11,0.35999537,Medium,0.11150054
exomiser_11,0.5000052,Medium,0.7082897
exomiser_11,0.5000052,Medium,0.7082897
exomiser_11,0.50000054,Medium,0.74428046
exomiser_11,0.50000054,Medium,0.74428046
exomiser_11,0.5008469,Diagnosed,0.7505857
exomiser_11,0.5000547,High,0.7490409
exomiser_11,0.50001657,Medium,0.017425237
exomiser_11,0.5000016,Medium,0.74893713
exomiser_11,0.6312102,High,0.91936064
exomiser_11,0.6312102,High,0.91936064
exomiser_11,0.50434136,Medium,0.63042814
exomiser_11,0.50434136,Medium,0.63042814
exomiser_11,0.5127352,Medium,0.7406998
exomiser_11,0.5127352,Medium,0.7406998
exomiser_11,0.5000014,Medium,0.5918942
exomiser_11,0.5000014,Medium,0.5918942
exomiser_11,0.50030077,Medium,0.6695243
exomiser_11,0.50813407,High,0.76283777
exomiser_11,0.50813407,High,0.76283777
exomiser_11,0.5000001,Low,0.7489342
exomiser_11,0.0,Low,0.016232928
exomiser_11,0.0,Low,0.016232928
exomiser_11,0.0,Medium,0.016225884
exomiser_11,0.50019884,Medium,0.7493138
exomiser_11,0.5000016,High,0.7387703
exomiser_11,0.5000016,High,0.7387703
exomiser_11,0.0,Low,0.0041442057
exomiser_11,0.0,Low,0.0041442057
exomiser_11,0.19234896,Medium,0.10861159
exomiser_11,0.51135993,Diagnosed,0.75620407
exomiser_11,0.50000256,High,0.74893904
exomiser_11,0.50006276,Medium,0.0076398724
exomiser_11,0.50004965,High,0.749031
exomiser_11,0.50016516,Medium,0.58742183
exomiser_11,0.50016516,Medium,0.58742183
exomiser_11,0.5033802,Medium,0.6884879
exomiser_11,0.5033802,Medium,0.6884879
exomiser_11,0.50001365,Medium,0.74492985
exomiser_11,0.50001365,Medium,0.74492985
exomiser_11,0.5007344,High,0.7503666
exomiser_11,0.5000359,Diagnosed,0.7479443
exomiser_11,0.5023311,Medium,0.75346255
exomiser_11,0.50057477,NA,0.7324466
exomiser_11,0.27844387,High,0.22969532
exomiser_11,0.5000487,Medium,0.1441684
exomiser_11,0.50059277,Medium,0.7500908
exomiser_11,0.0,Medium,0.015280067
exomiser_11,0.0,Medium,0.015280067
exomiser_11,0.0,NA,0.013348021
exomiser_11,0.0,NA,0.013348021
exomiser_11,0.5000011,High,0.7489361
exomiser_11,0.5000257,Medium,0.5994978
exomiser_11,0.5000257,Medium,0.5994978
exomiser_11,0.5235812,Medium,0.7921691
exomiser_11,0.5221146,Medium,0.6764305
exomiser_11,0.0,Medium,0.016005505
exomiser_11,0.5221146,Medium,0.6764305
exomiser_11,0.0,Medium,0.009093821
exomiser_11,0.0,Medium,0.009093821
exomiser_11,0.50001115,Diagnosed,0.7489558
exomiser_11,0.50000215,Diagnosed,0.7489382
exomiser_11,0.50002044,Medium,0.72643274
exomiser_11,0.50002044,Medium,0.72643274
exomiser_11,0.5393713,High,0.023309067
exomiser_11,0.50392973,Medium,0.7534525
exomiser_11,0.50392973,Medium,0.7534525
exomiser_11,0.5013513,Medium,4.8017164E-4
exomiser_11,0.50003874,Medium,3.063511E-4
exomiser_11,0.50004494,NA,0.3222699
exomiser_11,0.5000688,NA,0.20882843
exomiser_11,0.50000054,NA,0.07116423
